CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Risk
less_0,23,credits_paid_to_date,car_used,1802,less_100,4_to_7,2,female,none,1,real_estate,26,stores,own,1,skilled,1,none,no,No Risk
less_0,9,all_credits_paid_back,vacation,250,100_to_500,4_to_7,3,female,none,1,real_estate,19,none,own,2,skilled,1,none,yes,No Risk
less_0,29,credits_paid_to_date,radio_tv,4399,less_100,1_to_4,3,female,none,2,savings_insurance,25,stores,own,2,skilled,1,none,yes,No Risk
0_to_200,19,credits_paid_to_date,furniture,3143,less_100,less_1,3,female,none,3,real_estate,22,none,own,1,skilled,1,none,yes,No Risk
no_checking,19,credits_paid_to_date,car_used,2574,greater_1000,1_to_4,2,female,none,3,savings_insurance,28,none,own,1,skilled,1,none,yes,No Risk
no_checking,24,prior_payments_delayed,education,2770,100_to_500,4_to_7,3,female,none,4,car_other,46,none,own,2,management_self-employed,1,yes,yes,Risk
no_checking,34,outstanding_credit,radio_tv,7062,500_to_1000,4_to_7,5,male,co-applicant,4,unknown,61,none,free,3,skilled,2,yes,yes,Risk
0_to_200,35,prior_payments_delayed,radio_tv,2148,100_to_500,1_to_4,3,female,none,1,real_estate,22,none,free,2,skilled,2,yes,yes,No Risk
no_checking,34,prior_payments_delayed,business,7554,100_to_500,greater_7,5,female,none,5,unknown,43,none,own,2,management_self-employed,1,none,yes,Risk
no_checking,30,outstanding_credit,furniture,8404,unknown,4_to_7,4,male,co-applicant,3,car_other,56,none,free,2,skilled,2,yes,yes,Risk
0_to_200,41,outstanding_credit,furniture,1025,500_to_1000,1_to_4,3,male,none,3,savings_insurance,19,none,rent,1,skilled,1,yes,yes,No Risk
0_to_200,9,prior_payments_delayed,furniture,960,100_to_500,less_1,3,male,none,2,real_estate,27,none,own,1,management_self-employed,1,none,yes,No Risk
no_checking,26,prior_payments_delayed,radio_tv,6955,100_to_500,less_1,3,female,none,3,savings_insurance,46,none,own,1,management_self-employed,1,yes,yes,Risk
less_0,34,credits_paid_to_date,business,3198,less_100,greater_7,3,male,none,2,savings_insurance,34,stores,free,2,skilled,1,yes,no,Risk
no_checking,43,credits_paid_to_date,furniture,4704,500_to_1000,4_to_7,4,female,guarantor,4,real_estate,41,bank,own,2,unemployed,1,yes,yes,Risk
no_checking,20,credits_paid_to_date,car_new,6862,100_to_500,1_to_4,4,female,none,4,unknown,47,none,own,2,management_self-employed,1,none,yes,No Risk
0_to_200,24,outstanding_credit,appliances,881,100_to_500,1_to_4,2,male,none,3,car_other,36,none,own,2,skilled,1,none,yes,Risk
no_checking,41,prior_payments_delayed,business,9010,500_to_1000,1_to_4,5,male,none,5,unknown,38,none,own,2,management_self-employed,2,yes,yes,No Risk
0_to_200,4,all_credits_paid_back,car_used,546,less_100,less_1,2,male,none,1,real_estate,26,none,own,1,management_self-employed,1,none,yes,No Risk
0_to_200,4,all_credits_paid_back,car_used,250,less_100,1_to_4,2,female,none,2,real_estate,19,none,own,1,skilled,1,none,yes,No Risk
no_checking,40,outstanding_credit,repairs,8741,greater_1000,greater_7,4,male,co-applicant,3,car_other,55,none,free,2,skilled,1,yes,yes,Risk
less_0,11,all_credits_paid_back,car_used,261,less_100,unemployed,2,female,none,1,real_estate,20,none,rent,2,skilled,1,none,yes,No Risk
0_to_200,32,credits_paid_to_date,appliances,4400,greater_1000,4_to_7,3,female,co-applicant,3,car_other,38,stores,own,2,skilled,2,yes,yes,Risk
0_to_200,22,outstanding_credit,radio_tv,2540,greater_1000,1_to_4,3,male,none,4,car_other,42,none,own,2,skilled,1,yes,yes,No Risk
less_0,32,outstanding_credit,car_used,4395,100_to_500,greater_7,3,male,none,2,car_other,41,stores,free,2,skilled,1,yes,yes,No Risk
0_to_200,30,credits_paid_to_date,business,788,100_to_500,1_to_4,3,female,co-applicant,2,savings_insurance,33,stores,free,1,unskilled,1,yes,yes,No Risk
less_0,20,credits_paid_to_date,car_used,1468,less_100,less_1,3,female,none,3,savings_insurance,28,none,own,1,skilled,2,none,yes,Risk
less_0,18,credits_paid_to_date,appliances,574,less_100,less_1,1,female,none,1,savings_insurance,21,bank,rent,1,unemployed,1,none,yes,No Risk
greater_200,30,prior_payments_delayed,business,4040,100_to_500,4_to_7,3,male,co-applicant,4,unknown,26,none,own,1,skilled,1,none,yes,No Risk
greater_200,23,credits_paid_to_date,appliances,4790,100_to_500,1_to_4,2,male,none,2,unknown,41,none,own,1,skilled,1,none,yes,No Risk
no_checking,26,prior_payments_delayed,business,6202,greater_1000,4_to_7,3,male,none,4,savings_insurance,37,none,own,2,management_self-employed,1,none,yes,Risk
greater_200,35,outstanding_credit,radio_tv,5209,500_to_1000,greater_7,4,male,co-applicant,4,unknown,58,none,free,2,skilled,2,yes,yes,Risk
no_checking,25,prior_payments_delayed,furniture,4675,500_to_1000,4_to_7,3,male,none,4,savings_insurance,39,none,free,2,skilled,1,none,yes,Risk
less_0,10,prior_payments_delayed,car_used,250,500_to_1000,1_to_4,2,female,none,2,real_estate,31,stores,rent,1,skilled,1,none,yes,No Risk
0_to_200,17,prior_payments_delayed,car_new,1566,100_to_500,4_to_7,3,male,none,2,car_other,19,none,own,1,skilled,1,none,yes,No Risk
less_0,12,all_credits_paid_back,furniture,1248,less_100,1_to_4,2,female,none,2,savings_insurance,37,none,own,1,skilled,1,none,yes,No Risk
no_checking,8,credits_paid_to_date,furniture,463,greater_1000,4_to_7,3,male,none,4,savings_insurance,42,none,own,2,skilled,1,yes,yes,No Risk
0_to_200,4,credits_paid_to_date,education,250,less_100,less_1,2,female,none,3,real_estate,28,stores,rent,1,unskilled,2,none,yes,No Risk
0_to_200,19,credits_paid_to_date,repairs,1531,100_to_500,4_to_7,3,male,none,3,real_estate,32,stores,own,2,unskilled,1,yes,yes,Risk
no_checking,24,prior_payments_delayed,furniture,5991,greater_1000,less_1,3,female,none,4,savings_insurance,32,none,free,2,management_self-employed,1,none,yes,No Risk
0_to_200,14,credits_paid_to_date,appliances,250,less_100,less_1,3,female,none,1,real_estate,38,bank,own,2,unemployed,1,none,yes,No Risk
no_checking,40,outstanding_credit,repairs,8813,greater_1000,greater_7,5,male,co-applicant,4,car_other,47,none,free,3,skilled,1,yes,yes,Risk
0_to_200,14,credits_paid_to_date,furniture,6349,less_100,4_to_7,3,male,none,2,savings_insurance,35,stores,own,1,unskilled,2,none,yes,No Risk
less_0,4,credits_paid_to_date,education,250,less_100,unemployed,2,female,none,1,real_estate,19,none,rent,1,management_self-employed,1,none,yes,No Risk
less_0,4,prior_payments_delayed,vacation,5813,less_100,1_to_4,3,female,none,2,car_other,22,none,own,2,skilled,1,none,yes,No Risk
less_0,6,prior_payments_delayed,car_used,3026,less_100,less_1,3,male,none,3,car_other,37,none,own,1,skilled,1,none,yes,No Risk
less_0,15,all_credits_paid_back,car_used,597,less_100,1_to_4,2,male,none,1,savings_insurance,36,bank,own,1,unskilled,1,yes,yes,No Risk
greater_200,30,prior_payments_delayed,appliances,3803,greater_1000,4_to_7,2,female,none,3,car_other,49,none,own,2,skilled,1,none,yes,Risk
0_to_200,46,credits_paid_to_date,appliances,3924,100_to_500,1_to_4,3,female,none,3,real_estate,32,none,own,1,skilled,1,none,yes,No Risk
0_to_200,19,credits_paid_to_date,retraining,3060,less_100,1_to_4,3,female,none,1,savings_insurance,36,none,own,2,skilled,1,yes,yes,No Risk
less_0,8,all_credits_paid_back,car_new,1170,less_100,less_1,2,male,none,2,car_other,28,none,own,1,skilled,1,none,yes,No Risk
0_to_200,33,outstanding_credit,appliances,4702,100_to_500,4_to_7,4,female,guarantor,3,savings_insurance,47,none,free,2,skilled,1,yes,yes,Risk
no_checking,30,prior_payments_delayed,radio_tv,9560,100_to_500,4_to_7,3,male,co-applicant,3,unknown,39,none,free,2,skilled,1,none,yes,Risk
no_checking,25,prior_payments_delayed,car_used,4998,500_to_1000,4_to_7,3,male,guarantor,5,car_other,60,none,free,2,skilled,1,yes,yes,Risk
no_checking,32,prior_payments_delayed,furniture,5915,unknown,4_to_7,4,male,none,5,car_other,45,none,own,2,skilled,2,yes,yes,No Risk
less_0,10,all_credits_paid_back,car_used,1349,100_to_500,less_1,2,female,none,1,car_other,36,stores,rent,1,unskilled,2,none,yes,No Risk
less_0,21,all_credits_paid_back,furniture,250,500_to_1000,1_to_4,2,male,none,1,savings_insurance,23,stores,rent,2,skilled,1,none,yes,No Risk
0_to_200,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,female,none,3,real_estate,27,none,rent,1,skilled,1,none,yes,No Risk
no_checking,9,prior_payments_delayed,car_new,1032,100_to_500,4_to_7,3,male,none,4,savings_insurance,41,none,own,1,management_self-employed,1,none,yes,No Risk
0_to_200,4,prior_payments_delayed,vacation,3497,500_to_1000,1_to_4,3,male,co-applicant,2,savings_insurance,41,none,own,2,skilled,1,yes,yes,No Risk
no_checking,26,prior_payments_delayed,appliances,5027,500_to_1000,greater_7,4,male,none,3,savings_insurance,51,none,own,2,skilled,1,yes,yes,Risk
0_to_200,21,credits_paid_to_date,radio_tv,5140,less_100,1_to_4,2,male,none,2,savings_insurance,34,none,free,1,skilled,1,none,yes,Risk
no_checking,31,prior_payments_delayed,radio_tv,4569,100_to_500,1_to_4,4,male,none,5,savings_insurance,37,none,free,2,management_self-employed,1,yes,yes,No Risk
no_checking,24,outstanding_credit,car_used,6645,500_to_1000,greater_7,4,male,co-applicant,3,unknown,51,none,free,2,skilled,1,yes,yes,Risk
0_to_200,10,no_credits,car_new,250,less_100,less_1,2,female,none,2,real_estate,22,none,own,1,skilled,1,none,yes,No Risk
0_to_200,21,outstanding_credit,appliances,2498,100_to_500,1_to_4,3,male,none,2,car_other,32,none,own,1,skilled,1,none,yes,No Risk
less_0,12,prior_payments_delayed,repairs,1439,less_100,1_to_4,3,male,none,3,car_other,46,none,own,1,skilled,1,yes,yes,No Risk
no_checking,25,outstanding_credit,furniture,4665,500_to_1000,greater_7,4,male,none,4,unknown,53,none,free,2,skilled,1,yes,yes,Risk
no_checking,37,prior_payments_delayed,appliances,3934,greater_1000,4_to_7,4,male,none,4,car_other,33,stores,own,1,unskilled,2,yes,yes,No Risk
no_checking,30,outstanding_credit,appliances,7984,unknown,greater_7,5,male,co-applicant,4,unknown,61,none,free,3,management_self-employed,2,yes,yes,No Risk
0_to_200,22,credits_paid_to_date,car_new,592,less_100,less_1,1,female,none,3,savings_insurance,20,stores,own,1,skilled,1,none,yes,No Risk
greater_200,10,credits_paid_to_date,car_new,895,less_100,1_to_4,3,male,none,2,real_estate,31,none,own,1,management_self-employed,1,none,yes,No Risk
no_checking,12,all_credits_paid_back,furniture,373,500_to_1000,1_to_4,1,male,co-applicant,2,savings_insurance,33,none,rent,1,skilled,1,none,yes,No Risk
no_checking,35,prior_payments_delayed,appliances,6370,500_to_1000,4_to_7,4,male,none,5,car_other,55,none,own,2,skilled,2,yes,yes,Risk
no_checking,8,credits_paid_to_date,repairs,724,less_100,4_to_7,3,male,none,3,real_estate,33,none,rent,1,management_self-employed,1,none,yes,No Risk
no_checking,30,outstanding_credit,vacation,9535,500_to_1000,4_to_7,5,male,co-applicant,5,unknown,35,none,own,2,skilled,1,yes,yes,No Risk
0_to_200,22,credits_paid_to_date,car_new,1883,less_100,4_to_7,2,male,none,2,real_estate,33,none,free,2,skilled,1,yes,yes,No Risk
no_checking,27,prior_payments_delayed,furniture,5494,100_to_500,greater_7,4,female,none,4,car_other,42,none,own,2,skilled,1,yes,yes,Risk
0_to_200,23,credits_paid_to_date,repairs,5082,less_100,4_to_7,2,female,none,3,car_other,44,none,free,2,skilled,1,none,yes,No Risk
0_to_200,22,credits_paid_to_date,radio_tv,2441,less_100,1_to_4,3,male,none,3,savings_insurance,30,none,rent,1,skilled,1,none,yes,Risk
no_checking,27,prior_payments_delayed,appliances,5206,100_to_500,4_to_7,4,male,none,5,savings_insurance,38,none,own,1,skilled,1,none,yes,No Risk
less_0,7,no_credits,car_new,250,less_100,unemployed,2,female,none,1,real_estate,25,none,rent,1,skilled,1,none,yes,No Risk
no_checking,27,prior_payments_delayed,radio_tv,4807,100_to_500,less_1,3,male,none,3,car_other,45,none,own,1,skilled,1,none,yes,Risk
no_checking,24,prior_payments_delayed,radio_tv,6302,100_to_500,less_1,4,female,co-applicant,3,savings_insurance,45,none,own,1,skilled,1,none,yes,No Risk
0_to_200,4,all_credits_paid_back,car_used,250,less_100,1_to_4,2,female,none,1,savings_insurance,22,none,rent,1,skilled,1,none,yes,No Risk
less_0,15,credits_paid_to_date,car_new,2326,500_to_1000,less_1,2,male,none,3,car_other,28,stores,rent,1,unskilled,1,yes,yes,No Risk
0_to_200,32,credits_paid_to_date,appliances,2481,greater_1000,greater_7,3,male,none,3,unknown,41,none,rent,1,skilled,1,none,yes,Risk
no_checking,27,outstanding_credit,appliances,4849,greater_1000,greater_7,5,male,none,3,car_other,49,none,free,2,skilled,2,yes,yes,Risk
greater_200,5,credits_paid_to_date,car_used,250,less_100,4_to_7,3,male,none,2,savings_insurance,42,none,rent,1,skilled,1,none,yes,No Risk
no_checking,33,outstanding_credit,repairs,7744,unknown,greater_7,4,male,co-applicant,5,unknown,56,none,free,3,skilled,2,yes,yes,Risk
less_0,4,credits_paid_to_date,car_new,2890,less_100,1_to_4,2,female,none,2,real_estate,26,none,own,2,management_self-employed,1,none,yes,No Risk
no_checking,27,outstanding_credit,radio_tv,2422,500_to_1000,greater_7,3,female,none,2,savings_insurance,45,none,own,1,skilled,1,yes,yes,Risk
no_checking,17,credits_paid_to_date,car_new,2532,100_to_500,4_to_7,3,male,none,3,car_other,34,none,own,1,skilled,1,none,yes,No Risk
no_checking,15,outstanding_credit,furniture,4088,500_to_1000,greater_7,4,male,none,4,unknown,56,none,own,2,skilled,1,yes,yes,No Risk
no_checking,32,prior_payments_delayed,car_used,4756,unknown,4_to_7,4,male,none,3,savings_insurance,42,none,own,2,skilled,1,yes,yes,No Risk
0_to_200,4,prior_payments_delayed,car_new,1233,100_to_500,less_1,2,female,none,3,car_other,26,none,rent,1,skilled,1,none,yes,No Risk
less_0,8,prior_payments_delayed,car_used,1714,500_to_1000,4_to_7,3,female,none,2,real_estate,41,none,own,2,skilled,1,yes,yes,No Risk
greater_200,30,all_credits_paid_back,car_new,3900,less_100,1_to_4,2,female,none,3,savings_insurance,33,none,own,1,skilled,1,none,yes,Risk
no_checking,25,prior_payments_delayed,radio_tv,6264,100_to_500,4_to_7,3,female,none,4,unknown,44,none,own,1,skilled,1,yes,yes,Risk
less_0,14,prior_payments_delayed,car_new,1328,less_100,less_1,2,female,none,2,savings_insurance,27,none,rent,1,skilled,1,none,yes,No Risk
no_checking,34,outstanding_credit,radio_tv,8623,500_to_1000,greater_7,5,male,co-applicant,4,unknown,55,none,free,2,management_self-employed,2,yes,yes,Risk
0_to_200,22,credits_paid_to_date,car_used,499,less_100,1_to_4,3,male,none,1,savings_insurance,19,none,own,1,skilled,1,none,yes,No Risk
0_to_200,23,outstanding_credit,business,3452,greater_1000,1_to_4,3,male,none,3,car_other,30,none,own,1,management_self-employed,1,none,yes,No Risk
no_checking,33,prior_payments_delayed,appliances,7048,100_to_500,4_to_7,3,male,co-applicant,4,savings_insurance,49,none,free,2,skilled,2,yes,yes,Risk
less_0,17,credits_paid_to_date,furniture,1195,less_100,less_1,3,female,none,3,real_estate,36,none,own,1,skilled,1,none,yes,No Risk
no_checking,41,credits_paid_to_date,appliances,2901,100_to_500,4_to_7,4,female,none,3,savings_insurance,36,none,own,1,skilled,1,none,yes,No Risk
no_checking,41,prior_payments_delayed,furniture,6898,greater_1000,greater_7,4,male,guarantor,5,car_other,55,none,free,2,skilled,2,yes,yes,Risk
no_checking,25,prior_payments_delayed,radio_tv,1613,greater_1000,1_to_4,2,male,none,4,savings_insurance,23,none,own,1,skilled,2,none,yes,Risk
no_checking,40,prior_payments_delayed,furniture,11347,unknown,4_to_7,4,male,co-applicant,3,car_other,28,none,free,3,skilled,2,yes,yes,Risk
0_to_200,27,prior_payments_delayed,appliances,709,100_to_500,greater_7,3,female,none,2,real_estate,22,stores,rent,2,skilled,2,none,yes,Risk
no_checking,23,prior_payments_delayed,repairs,1659,100_to_500,1_to_4,3,male,none,2,car_other,24,none,rent,1,skilled,1,none,yes,No Risk
0_to_200,4,all_credits_paid_back,furniture,4231,less_100,1_to_4,2,female,none,1,real_estate,19,none,own,1,skilled,1,none,yes,No Risk
no_checking,35,credits_paid_to_date,appliances,5177,greater_1000,4_to_7,4,female,none,4,savings_insurance,44,none,own,1,skilled,1,none,yes,Risk
